"Brand","Position","Previous Position","Brand Value ($M)","Previous Brand Value ($M)","Rating","Previous Rating","Year","Previous Year"
"accenture",1,1,"25293.52","26292.38","AAA-","AAA",,
"IBM (IT Services)",2,2,"21188.37","20366.93","AAA-","AAA",,
"TCS",3,3,"13498.55","12814.57","AAA-","AAA-",,
"Cognizant",4,4,"8572.76","8704.19","AA+","AA+",,
"Infosys",5,5,"7087.22","6500.66","AA+","AA+",,
"Capgemini",6,6,"6629.56","5921.72","AA+","AA",,
"DXC Technology",7,7,"5829.62","5525.01","AA-","A+",,
"Ntt Data",8,9,"5057.54","4266.16","AA-","AA-",,
"HCL",9,8,"4889.40","4648.12","AA+","AA",,
"Wipro",10,10,"4323.73","4001.75","AA+","AA+",,
"Samsung SDS",11,12,"🔒","🔒","🔒","🔒",,
"Atos",12,11,"🔒","🔒","🔒","🔒",,
"Fujitsu (IT Services)",13,13,"🔒","🔒","🔒","🔒",,
"CGI",14,"-","🔒","🔒","🔒","🔒",,
"Xerox",15,14,"🔒","🔒","🔒","🔒",,
"HPE (IT Services)",16,15,"🔒","🔒","🔒","🔒",,
"Tech Mahindra",17,"-","🔒","🔒","🔒","🔒",,
"NEC (IT Services)",18,"-","🔒","🔒","🔒","🔒",,
"SAIC",19,"-","🔒","🔒","🔒","🔒",,
"CTC",20,"-","🔒","🔒","🔒","🔒",,
"Sopra Steria",21,"-","🔒","🔒","🔒","🔒",,
"Conduent",22,"-","🔒","🔒","🔒","🔒",,
"LTI",23,"-","🔒","🔒","🔒","🔒",,
"Bechtle",24,"-","🔒","🔒","🔒","🔒",,
"Tieto",25,"-","🔒","🔒","🔒","🔒",,
