"Brand","Position","Previous Position","Brand Value ($M)","Previous Brand Value ($M)","Rating","Previous Rating","Year","Previous Year"
"accenture",1,1,"36190.05","26028.06","AAA","AAA",,
"TCS",2,3,"16785.90","14924.34","AAA-","AAA-",,
"Infosys",3,4,"12777.00","8402.05","AAA-","AAA-",,
"IBM Consulting",4,2,"10582.40","16056.73","AAA","AAA-",,
"Cognizant",5,5,"8735.42","8031.83","AA","AA+",,
"Capgemini",6,6,"8166.20","6750.21","AA","AA",,
"Wipro",7,9,"6363.72","4301.03","AA+","AA+",,
"HCL",8,7,"6101.78","5523.65","AA+","AA+",,
"Ntt Data",9,8,"5760.02","5080.82","AA","AA",,
"Fujitsu (IT Services)",10,11,"3950.03","3589.27","AA","A+",,
"DXC Technology",11,12,"🔒","🔒","🔒","🔒",,
"CGI",12,14,"🔒","🔒","🔒","🔒",,
"Samsung SDS",13,10,"🔒","🔒","🔒","🔒",,
"Atos",14,13,"🔒","🔒","🔒","🔒",,
"Tech Mahindra",15,15,"🔒","🔒","🔒","🔒",,
"EPAM",16,"-","🔒","🔒","🔒","🔒",,
"HPE (IT Services)",17,17,"🔒","🔒","🔒","🔒",,
"Xerox",18,16,"🔒","🔒","🔒","🔒",,
"NEC (IT Services)",19,19,"🔒","🔒","🔒","🔒",,
"SAIC",20,18,"🔒","🔒","🔒","🔒",,
"Sopra Steria",21,22,"🔒","🔒","🔒","🔒",,
"LTI",22,21,"🔒","🔒","🔒","🔒",,
"Globant",23,25,"🔒","🔒","🔒","🔒",,
"Thoughtworks",24,"-","🔒","🔒","🔒","🔒",,
"CTC",25,20,"🔒","🔒","🔒","🔒",,
