"Brand","Position","Previous Position","Brand Value ($M)","Previous Brand Value ($M)","Rating","Previous Rating","Year","Previous Year"
"IBM",1,1,"35427.79","41514.47","AA+","AA+",,
"HP",2,2,"18067.94","19823.86","AA-","AA-",,
"Accenture",3,3,"11086.68","11009.43","AA","AA",,
"TCS",4,4,"8693.65","8283.93","AA+","AA+",,
"Cognizant",5,"-","3514.92","-","AA","-",,
"Infosys",6,"-","3413.99","-","AA","-",,
"Cap Gemini",7,5,"2518.92","3707.16","AA","AA+",,
"Wipro",8,"-","2302.47","-","AA+","-",,
"Atos",9,"-","2214.51","-","AA-","-",,
"Computer Sciences",10,"-","1810.25","-","AA-","-",,
