"Brand","Position","Previous Position","Brand Value ($M)","Previous Brand Value ($M)","Rating","Previous Rating","Year","Previous Year"
"IBM",1,1,"31786.30","35427.79","AA","AA+",,
"Accenture",2,3,"12686.81","11086.68","AA+","AA",,
"TCS",3,4,"9046.70","8693.65","AA+","AA+",,
"HP",4,2,"8089.84","18067.94","AA","AA-",,
"Cognizant",5,5,"7342.00","3514.92","AA+","AA",,
"Infosys",6,6,"4794.22","3413.99","AA+","AA",,
"Xerox",7,"-","3889.76","-","AA-","-",,
"Fujitsu",8,"-","3887.74","-","A+","-",,
"Cap Gemini",9,7,"3262.28","2518.92","AA","AA",,
"HCL",10,"-","3236.12","-","AA+","-",,
"Wipro",11,8,"🔒","🔒","🔒","🔒",,
"Atos",12,9,"🔒","🔒","🔒","🔒",,
"Nec",13,"-","🔒","🔒","🔒","🔒",,
"Computer Sciences",14,10,"🔒","🔒","🔒","🔒",,
"Tech Mahindra",15,"-","🔒","🔒","🔒","🔒",,
