"Brand","Position","Previous Position","Brand Value ($M)","Previous Brand Value ($M)","Rating","Previous Rating","Year","Previous Year"
"IBM",1,"-","41514.47","-","AA+","-",,
"HP",2,"-","19823.86","-","AA-","-",,
"Accenture",3,"-","11009.43","-","AA","-",,
"TCS",4,"-","8283.93","-","AA+","-",,
"Capgemini",5,"-","3707.16","-","AA+","-",,
